trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-81.82737041430849,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,3,-45.59330061569095,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-41.9481511982617,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",25,14,14.918702016250919,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,0,11.41252611618923,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-50.42624434218027,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-17.77656959058871,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,0,-89.67732316869657,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,0,-149.58983943183685,"{0: 16, 1: 6, 2: 4, 3: 3, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,9,-115.26809069715085,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 3}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",30,0,-58.333071509646636,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",25,0,-62.48664009915242,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,12,-16.31693587434938,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,0,-136.22254801699108,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-63.82592115516172,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",25,15,-93.05930355467076,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",30,0,-44.210248208685734,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",35,0,-145.61548488565288,"{0: 24, 1: 3, 2: 4, 3: 2, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-68.64233832416059,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",20,0,-26.81707585429423,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,-132.95050607273456,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",25,12,5.524344707274238,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-71.65604747155459,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-15.106845889794782,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,0,-43.266420515738766,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,10,-37.27065327039713,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",30,7,-46.698602516755194,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",30,0,-74.84100421608167,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-5.344766806636441,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,1,-36.12749777137951,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,8,-91.55550588379788,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 1}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,0,-28.303850255503015,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-47.36184629254499,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,0,-29.881978672017198,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,2,-127.00262569800981,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 2}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",25,0,-48.752434992516164,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,15,-15.266141296570781,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",30,6,-133.1080172803351,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,0,-25.649930525494554,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,5,-25.590380603201297,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",30,0,-93.86265577444908,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,0,-58.615247009164875,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,0,-22.14299640453363,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,1,-6.342860582284439,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,12,-12.548125094266359,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,0,-11.157416789533777,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,12,-18.353637485019497,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",30,11,-3.865642527814492,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,0,6.997446495858529,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,0,8.368559116459114,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,16,8.4454290616261,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,8,13.844467763125964,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,11,5.516137113055111,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,0,11.709632025053232,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,13,17.850409377891733,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",25,17,10.497043020332217,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,0,-17.918973476667805,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",20,10,5.391706767266199,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,27.114130425893432,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,13,-0.4576019304490866,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",30,12,19.66493907749668,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",25,6,-37.875815175397605,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,2,-53.08601904627191,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",30,11,-1.5957884167855672,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,1,-14.214977753776399,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,15,8.40833295363776,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-54.41959906319715,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,11,13.482914156209308,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
